"Date","BTC_Close","BTC_High","BTC_Low","BTC_Open","BTC_Volume","BTC_PriceRange","NIFTY_Close","NIFTY_High","NIFTY_Low","NIFTY_Open","NIFTY_Volume","NIFTY_PriceRange","ETH_Close","ETH_High","ETH_Low","ETH_Open","ETH_Volume","ETH_PriceRange"
2019-09-18,731316.36,736886.84,730830.29,734869.43,1.16e+12,6056.54999999993,10840.65,10885.15,10804.85,10872.8,519200,80.2999999999993,15158.99,15540.38,14919.31,14919.31,6.59e+11,621.07
2019-09-19,734485.03,736577.93,704814.74,729769.03,1.43e+12,31763.1900000001,10704.8,10845.2,10670.25,10845.2,642600,174.950000000001,15830.99,15944.8,14643.73,15113.16,7.6e+11,1301.07
2019-09-20,730201.87,737677.02,726655.07,736274.67,1.06e+12,11021.9500000001,11274.2,11381.9,10691,10746.8,1356800,690.9,15638,15892.49,15430.71,15854.56,5.76e+11,461.780000000001
2019-09-23,692646.13,717201.11,692490.88,716754.36,1.08e+12,24710.23,11600.2,11694.85,11471.35,11542.7,882800,223.5,14375.1,15081.26,14372.67,15072.2,5.34e+11,708.59
2019-09-24,610246.42,694043.67,592565.68,688734.73,1.77e+12,101477.99,11588.2,11655.05,11539.2,11590.7,651700,115.849999999999,11900.49,14405.72,11519.43,14288.32,8.32e+11,2886.29
2019-09-25,604995.34,623375.1,593475.92,613295.45,1.55e+12,29899.1799999999,11440.2,11564.95,11416.1,11564.85,629100,148.85,12182.09,12454.9,11755.86,11985.4,6.96e+11,699.039999999999
2019-09-26,578963.57,607253.52,563037.31,605255.72,1.37e+12,44216.21,11571.2,11610.85,11466.35,11469.85,844500,144.5,11889.31,12243.4,11204.96,12176.67,5.6e+11,1038.44
2019-09-27,587655.16,589056.3,567293.17,577774.46,1.17e+12,21763.13,11512.4,11593.6,11499.75,11556.35,650000,93.8500000000004,12442.04,12506.12,11622.96,11868.1,5.63e+11,883.160000000002
2019-09-30,584706.95,586142.53,552058.34,571337.46,1.21e+12,34084.1900000001,11474.45,11508.25,11390.8,11491.15,756800,117.450000000001,12680.76,12680.76,11775.86,12017.3,5.32e+11,904.9
2019-10-01,591726.02,602677.59,583882.23,588636.95,1.09e+12,18795.36,11359.9,11554.2,11247.9,11515.4,1305400,306.300000000001,12577.43,13123.89,12469.07,12780.88,5.44e+11,654.82
2019-10-03,587629.07,598601.62,579550.58,596933.13,9.72e+11,19051.04,11314,11370.4,11257.35,11322.25,1017500,113.049999999999,12463.96,12862.35,12279.03,12855.55,4.54e+11,583.32
2019-10-04,582785.79,586629.13,578900.81,586589.25,9.33e+11,7728.31999999995,11174.75,11400.3,11158.35,11388.45,928500,241.949999999999,12569.47,12680.77,12326.52,12445.43,4.44e+11,354.25
2019-10-07,583913.82,588362.92,559846.85,565749.6,1.28e+12,28516.0700000001,11126.4,11233.85,11112.65,11196.2,733200,121.200000000001,12830.71,12913.57,12146.74,12246.77,5.55e+11,766.83
2019-10-09,612102.65,614378.94,581735.76,586046.96,1.38e+12,32643.1799999999,11313.3,11321.6,11090.15,11152.95,741100,231.450000000001,13764.41,13836.14,12865.4,12962.8,6.47e+11,970.74
2019-10-10,613160.11,615930.74,604980.81,613074.9,1.26e+12,10949.9299999999,11234.55,11293.35,11208.55,11280.5,562000,84.8000000000011,13686.42,13846.18,13446.97,13795.78,5.98e+11,399.210000000001
2019-10-11,590678.33,619071.99,590282.6,609381.97,1.39e+12,28789.39,11305.05,11362.9,11189.4,11257.7,737800,173.5,12958.8,13863.73,12894.36,13614.04,6.48e+11,969.369999999999
2019-10-14,593882.53,594983.29,587460.87,590063.49,1.07e+12,7522.42000000004,11341.15,11420.45,11290.05,11335.9,587600,130.400000000001,13258.15,13282.45,12882.4,12908.37,5.16e+11,400.050000000001
2019-10-15,586294.13,600966.6,584674.83,598304.5,1.09e+12,16291.77,11428.3,11462.35,11342.1,11360.85,527400,120.25,12961.92,13415.91,12823.06,13359.98,5.52e+11,592.85
2019-10-16,577490.54,589638.48,573010.06,588767.48,1.15e+12,16628.4199999999,11464,11481.05,11411.1,11464.95,533500,69.9499999999989,12630.73,13036.54,12490.84,13013.23,5.52e+11,545.700000000001
2019-10-17,580402.14,582616.66,573027.55,576384.35,1.03e+12,9589.10999999999,11586.35,11599.1,11439.65,11466.3,797600,159.450000000001,12750.39,12812.79,12502.4,12598.45,4.83e+11,310.390000000001
